,page_id,name_x,urlslug_x,id_x,align_x,eye_x,hair_x,sex_x,gsm_x,alive_x,appearances_x,first appearance_x,year_x,industry_x,name_y,urlslug_y,id_y,align_y,eye_y,hair_y,sex_y,gsm_y,alive_y,appearances_y,first appearance_y,year_y,industry_y
0,1458,Green Lantern (Hal Jordan),\/wiki\/Green_Lantern_(Hal_Jordan),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1565.0,"1959, October",1959.0,DC,Domina (Earth-616),\/Domina_(Earth-616),Secret Identity,Bad Characters,Silver Eyes,Purple Hair,Female Characters,,Deceased Characters,7.0,Apr-00,2000.0,MV
1,1576,Richard Grayson (New Earth),\/wiki\/Richard_Grayson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1237.0,"1940, April",1940.0,DC,Ultron (Earth-616),\/Ultron_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Deceased Characters,181.0,Jul-68,1968.0,MV
2,1448,Wonder Woman (Diana Prince),\/wiki\/Wonder_Woman_(Diana_Prince),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,1231.0,"1941, December",1941.0,DC,Victor von Doom (Earth-616),\/Victor_von_Doom_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721.0,Jul-62,1962.0,MV
3,1486,Aquaman (Arthur Curry),\/wiki\/Aquaman_(Arthur_Curry),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1121.0,"1941, November",1941.0,DC,Dromedan (Earth-616),\/Dromedan_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,8.0,Oct-77,1977.0,MV
4,1451,Timothy Drake (New Earth),\/wiki\/Timothy_Drake_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1095.0,"1989, August",1989.0,DC,Johann Fennhoff (Earth-616),\/Johann_Fennhoff_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,56.0,Nov-68,1968.0,MV
5,1380,Flash (Barry Allen),\/wiki\/Flash_(Barry_Allen),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1028.0,"1956, October",1956.0,DC,Crystalia Amaquelin (Earth-616),\/Crystalia_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512.0,Dec-65,1965.0,MV
6,1459,Alan Scott (New Earth),\/wiki\/Alan_Scott_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,969.0,"1940, July",1940.0,DC,Duvid Fortunov (Earth-616),\/Duvid_Fortunov_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,57.0,Aug-75,1975.0,MV
7,1905,Barbara Gordon (New Earth),\/wiki\/Barbara_Gordon_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,951.0,"1967, January",1967.0,DC,Kala (Earth-616),\/Kala_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,12.0,Jul-63,1963.0,MV
8,1386,Jason Garrick (New Earth),\/wiki\/Jason_Garrick_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,951.0,"1940, January",1940.0,DC,Douglas Ramsey (Earth-616),\/Douglas_Ramsey_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,181.0,Mar-84,1984.0,MV
9,1849,Carter Hall (New Earth),\/wiki\/Carter_Hall_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,803.0,"1940, January",1940.0,DC,Ikaris (Eternal) (Earth-616),\/Ikaris_(Eternal)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,106.0,Jul-76,1976.0,MV
10,4320,Kyle Rayner (New Earth),\/wiki\/Kyle_Rayner_(New_Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,716.0,"1994, January",1994.0,DC,Dennis Malloy (Earth-616),\/Dennis_Malloy_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,,Jul-89,1989.0,MV
11,1706,Raymond Palmer (New Earth),\/wiki\/Raymond_Palmer_(New_Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,706.0,"1961, October",1961.0,DC,Daniel Ketch (Earth-616),\/Daniel_Ketch_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,311.0,May-90,1990.0,MV
